license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,application_status,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
Marijuana Product Manufacturer,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MP282202,"Green Collar Cannabis, LLC",Freetown,MA,2702,41.776406,-71.08455,16A Copicut Road Bldg. #2,Units 5 & 6,Assonet,MA,2702,POINT (-71.102131 41.778329),POINT (-71.084549 41.7764060),2070 Main Rd,,Tiverton,RI,2878,88-0769711,MPN282202,Wed Jun 22 2022 08:31:57 GMT-0400 (Eastern Daylight Time),Fri Dec 30 2022 09:32:27 GMT-0500 (Eastern Standard Time),Thu Jun 30 2022 11:59:34 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,Tue May 10 2022 09:42:05 GMT-0400 (Eastern Daylight Time),Fri Jan 13 2023 10:52:46 GMT-0500 (Eastern Standard Time),Thu Feb 09 2023 13:16:17 GMT-0500 (Eastern Standard Time),,,,2/21/23,16 Copicut Rd,Units 5 & 6,Bristol County,1500,,2702,Assonet,Bristol,41.778329,-71.102131,,658
Marijuana Cultivator,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC282211,"Bask, Inc.",Freetown,MA,2702,41.781918,-71.079442,2 Pequod Road,,Fairhaven,MA,2719,POINT (-71.102131 41.778329),POINT (-71.079442 41.7819179),2 Pequod Road,,Fairhaven,MA,2719,46-3397060,MCN282211,Fri Jun 28 2019 11:17:38 GMT-0400 (Eastern Daylight Time),Fri Aug 02 2019 14:01:30 GMT-0400 (Eastern Daylight Time),Tue Jul 09 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 08 2020 13:16:55 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,APPROVED,RP201988,RPA201988,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,Thu Jun 13 2019 17:11:51 GMT-0400 (Eastern Daylight Time),Thu Sep 05 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:31:39 GMT-0500 (Eastern Standard Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Apr 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,7 Campanelli Dr,N/A,Bristol County,600,5000,2702,Assonet,Bristol,41.778329,-71.102131,,658
Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC282714,"AmeriCann Brands, Inc.",Freetown,MA,2702,41.781918,-71.079442,1550 Wewatta Street,2nd Floor,Denver,CO,80202,POINT (-71.102131 41.778329),POINT (-71.079442 41.7819179),1550 Wewatta Street,2nd Floor,Denver,CO,80202,83-2442337,MCN282714,Tue Apr 14 2020 17:08:55 GMT-0400 (Eastern Daylight Time),Fri Jul 31 2020 17:10:12 GMT-0400 (Eastern Daylight Time),Mon May 18 2020 09:56:57 GMT-0400 (Eastern Daylight Time),Fri Apr 09 2021 11:05:32 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,Indoor,"Tier 09: 70,001 to 80,000 sq. ft",,,,,,,,,,,,,Sun Mar 29 2020 12:13:07 GMT-0400 (Eastern Daylight Time),Fri Aug 14 2020 07:26:29 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:12:26 GMT-0500 (Eastern Standard Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 09 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,7 Campanelli Dr,N/A,Bristol County,2000,40000,2702,Assonet,Bristol,41.778329,-71.102131,,658
Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP282100,"Briarleaf, LLC",Attleboro,MA,2703,41.947553,-71.266148,527 Pleasant Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.266148 41.9475529),527 Pleasant Street,,Attleboro,MA,2703,82-3802213,MPN282100,Sat Nov 27 2021 17:19:03 GMT-0500 (Eastern Standard Time),Wed Apr 13 2022 08:50:50 GMT-0400 (Eastern Daylight Time),Mon Dec 06 2021 11:59:14 GMT-0500 (Eastern Standard Time),,,yes,SE305293,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Fri Jul 16 2021 09:08:58 GMT-0400 (Eastern Daylight Time),Fri Apr 15 2022 13:39:15 GMT-0400 (Eastern Daylight Time),Thu Jun 09 2022 12:47:22 GMT-0400 (Eastern Daylight Time),Tue Aug 16 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Aug 16 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,527 Pleasant St,N/A,Bristol County,,5000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC282515,Aspen Blue Cultures Inc.,Attleboro,MA,2703,41.94579,-71.273974,40 Forest Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.273973 41.9457900),72 Pine Street,,Providence,RI,2903,83-2407755,MCN282515,Fri Feb 28 2020 14:48:24 GMT-0500 (Eastern Standard Time),Fri May 15 2020 20:52:33 GMT-0400 (Eastern Daylight Time),Mon May 18 2020 09:53:50 GMT-0400 (Eastern Daylight Time),Fri Jan 22 2021 14:45:33 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,Indoor,"Tier 05: 30,001 to 40,000 sq. ft",,,,,,,,,,,,,Tue Nov 26 2019 11:59:02 GMT-0500 (Eastern Standard Time),Fri Jul 17 2020 10:12:03 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 12:28:06 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 22 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,40 Forest St,N/A,Bristol County,2000,22500,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Retailer,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MR284345,220 ONEIL LLC,Attleboro,MA,2703,41.937104,-71.274985,220 O'Neil Boulevard,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.274985 41.9371039),89 South Main Street,,Centerville,MA,2632,87-2075638,MRN284345,Mon Apr 04 2022 11:13:36 GMT-0400 (Eastern Daylight Time),Wed Aug 10 2022 10:48:47 GMT-0400 (Eastern Daylight Time),Fri Apr 15 2022 15:47:48 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Tue Jul 27 2021 14:12:36 GMT-0400 (Eastern Daylight Time),Fri Aug 19 2022 09:35:50 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 15:53:13 GMT-0400 (Eastern Daylight Time),,,,2/21/23,220 O'neil Blvd,N/A,Bristol County,1500,,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP281517,"Beacon Compassion, Inc",Attleboro,MA,2703,41.919957,-71.319582,900 Washington Street,Ste A,Norwood,MA,2062,POINT (-71.102131 41.778329),POINT (-71.319581 41.9199569),900 Washington Street,Ste A,Norwood,MA,2062,83-2057586,MPN281517,Mon Oct 29 2018 14:35:31 GMT-0400 (Eastern Daylight Time),Wed Nov 28 2018 13:48:41 GMT-0500 (Eastern Standard Time),Tue Nov 06 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 25 2019 10:18:20 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,APPROVED,RP201902,RPA201902,Not a DBE,,,,,,,,,,,,,,,Thu Oct 18 2018 15:32:59 GMT-0400 (Eastern Daylight Time),Mon Dec 10 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Feb 21 2019 16:07:37 GMT-0500 (Eastern Standard Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 26 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,30 Franklin R Mckay Rd,N/A,Bristol County,300,5000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Retailer,Priority Review - Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MR281759,"Major Bloom, LLC",Attleboro,MA,2703,41.934519,-71.291312,20 John Williams Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.291312 41.9345190),50 Loring St.,,Hyde Park,MA,2136,82-5007405,MRN281759,Sat May 11 2019 11:55:11 GMT-0400 (Eastern Daylight Time),Fri Mar 20 2020 14:13:54 GMT-0400 (Eastern Daylight Time),Fri May 24 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Mar 15 2022 23:12:50 GMT-0400 (Eastern Daylight Time),TRUE,,,,APPROVED,EE202093,EE202093,,,,Not a DBE,,,,,,,,,,,,,,,Mon Jul 30 2018 13:21:30 GMT-0400 (Eastern Daylight Time),Mon Mar 23 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:28:56 GMT-0400 (Eastern Daylight Time),Tue Mar 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 15 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,20 John Williams St,N/A,Bristol County,300,5000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MR283093,Green River Cannabis Company Inc.,Attleboro,MA,2703,41.90305,-71.338804,1815 County Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.338803 41.90305),30 Washington St.,,Attleboro,MA,2703,83-3185115,MRN283093,Thu Apr 30 2020 10:01:21 GMT-0400 (Eastern Daylight Time),Thu Apr 15 2021 23:35:24 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:50:11 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Wed Oct 30 2019 11:14:19 GMT-0400 (Eastern Daylight Time),Fri Apr 16 2021 08:32:25 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 10:56:02 GMT-0400 (Eastern Daylight Time),Wed Nov 24 2021 03:00:00 GMT-0500 (Eastern Standard Time),Thu Nov 24 2022 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,1815 County St,N/A,Bristol County,1500,10000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Product Manufacturer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,11/19/20,APPROVED,COMPLETE,MP281325,BCWC LLC,Attleboro,MA,2703,41.918292,-71.324823,34 Extension Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.324822 41.9182920),"679 Washington Street, suite 8, Box 117",,Attleboro,MA,2703,82-4930709,MPN281325,Thu May 03 2018 15:04:18 GMT-0400 (Eastern Daylight Time),Mon Jun 25 2018 17:26:53 GMT-0400 (Eastern Daylight Time),Thu May 17 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 24 2018 09:37:13 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,APPROVED,RP201852,,Not a DBE,,,,,,,,,,,,,,Thu Oct 08 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Tue May 01 2018 12:21:34 GMT-0400 (Eastern Daylight Time),Thu Jul 05 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 15:49:23 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 20 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,34 Extension St,N/A,Bristol County,300,5000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,6/1/22,APPROVED,COMPLETE,MR281332,"Ashli's, Inc.",Attleboro,MA,2703,41.919657,-71.324689,70 Frank Mossberg Dr.,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.324689 41.9196570),81 West St.,Suite 2112,Attleboro,MA,2703,82-5456028,MRN281332,Thu Jun 14 2018 21:36:23 GMT-0400 (Eastern Daylight Time),Fri Sep 14 2018 11:47:09 GMT-0400 (Eastern Daylight Time),Tue Aug 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Nov 02 2018 12:30:43 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Veteran-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Apr 26 2018 08:13:26 GMT-0400 (Eastern Daylight Time),Mon Sep 24 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 01 2018 15:11:49 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,70 Frank Mossberg Dr,N/A,Bristol County,300,5000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Product Manufacturer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP281802,Aspen Blue Cultures Inc.,Attleboro,MA,2703,41.94579,-71.273974,40 Forest Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.273973 41.9457900),72 Pine Street,,Providence,RI,2903,83-2407755,MPN281802,Fri Feb 28 2020 15:02:06 GMT-0500 (Eastern Standard Time),Fri May 15 2020 21:09:38 GMT-0400 (Eastern Daylight Time),Mon May 18 2020 09:54:07 GMT-0400 (Eastern Daylight Time),Fri Jan 22 2021 14:45:45 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Tue Nov 26 2019 12:00:52 GMT-0500 (Eastern Standard Time),Fri Jul 17 2020 10:12:21 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 12:29:43 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 22 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,40 Forest St,N/A,Bristol County,1500,10000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Cultivator,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC281263,BCWC LLC,Attleboro,MA,2703,41.938976,-71.302297,34 Extension Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.302296 41.9389759),"679 Washington Street, Suite 8, Box 117",,Attleboro,MA,2703,82-4930709,MCN281263,Tue May 01 2018 12:16:01 GMT-0400 (Eastern Daylight Time),Mon Jun 25 2018 17:13:07 GMT-0400 (Eastern Daylight Time),Thu May 17 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 24 2018 09:33:37 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,APPROVED,RP201852,RPA201852,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,Wed Apr 18 2018 14:26:15 GMT-0400 (Eastern Daylight Time),Thu Jul 05 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 15:48:34 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 20 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,,N/A,Bristol County,400,2500,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC281451,"Ashli's Farm, Inc.",Attleboro,MA,2703,41.921148,-71.326655,76 Frank Mossberg Dr.,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.326655 41.9211480),81 West St.,Suite 2112,Attleboro,MA,2703,83-0602511,MCN281451,Thu Jun 14 2018 21:34:09 GMT-0400 (Eastern Daylight Time),Fri Sep 14 2018 11:42:15 GMT-0400 (Eastern Daylight Time),Tue Aug 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 06 2018 19:08:05 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Woman-Owned Business | Veteran-Owned Business,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,Wed May 16 2018 19:20:26 GMT-0400 (Eastern Daylight Time),Mon Sep 24 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 01 2018 15:09:40 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,76 Frank Mossberg Dr,N/A,Bristol County,600,7500,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,3/5/20,APPROVED,COMPLETE,MR281379,BCWC LLC,Attleboro,MA,2703,41.918292,-71.324823,34 Extension Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.324822 41.9182920),34 Extension Street,,Attleboro,MA,2703,82-4930709,MRN281379,Mon Oct 01 2018 17:29:33 GMT-0400 (Eastern Daylight Time),Fri Nov 16 2018 15:16:06 GMT-0500 (Eastern Standard Time),Tue Oct 16 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Feb 25 2019 14:49:32 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,APPROVED,RP201852,,Not a DBE,,,,,,,,,,,,,,Thu Feb 06 2020 03:00:00 GMT-0500 (Eastern Standard Time),Thu May 03 2018 13:15:10 GMT-0400 (Eastern Daylight Time),Fri Nov 23 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Dec 13 2018 16:49:29 GMT-0500 (Eastern Standard Time),Thu Feb 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Mar 11 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,34 Extension St,N/A,Bristol County,300,5000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Cultivator,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC283555,"Briarleaf, LLC",Attleboro,MA,2703,41.947553,-71.266148,527 Pleasant Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.266148 41.9475529),527 Pleasant Street,,Attleboro,MA,2703,82-3802213,MCN283555,Sat Nov 27 2021 17:19:30 GMT-0500 (Eastern Standard Time),Wed Apr 13 2022 08:49:27 GMT-0400 (Eastern Daylight Time),Mon Dec 06 2021 12:03:58 GMT-0500 (Eastern Standard Time),,,yes,SE305293,,,,,,,,Not a DBE,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,,,,,,,,,,,,Fri Jul 16 2021 09:07:33 GMT-0400 (Eastern Daylight Time),Fri Apr 15 2022 13:39:40 GMT-0400 (Eastern Daylight Time),Thu Jun 09 2022 12:46:39 GMT-0400 (Eastern Daylight Time),Tue Aug 16 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Aug 16 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,527 Pleasant St,N/A,Bristol County,,12500,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Product Manufacturer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP281374,"Ashli's Extracts, Inc.",Attleboro,MA,2703,41.921148,-71.326655,76 Frank Mossberg Dr.,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.326655 41.9211480),81 West St.,Suite 2112,Attleboro,MA,2703,83-0596234,MPN281374,Thu Jun 14 2018 21:35:49 GMT-0400 (Eastern Daylight Time),Fri Sep 14 2018 11:44:36 GMT-0400 (Eastern Daylight Time),Tue Aug 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 06 2018 16:27:42 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Veteran-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,Sat Jun 02 2018 15:17:07 GMT-0400 (Eastern Daylight Time),Mon Sep 24 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 01 2018 15:08:15 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,76 Frank Mossberg Dr,N/A,Bristol County,300,5000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Cultivator,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC281378,"Beacon Compassion, Inc.",Attleboro,MA,2703,41.919957,-71.319582,900 Washington Street,Ste A,Norwood,MA,2062,POINT (-71.102131 41.778329),POINT (-71.319581 41.9199569),900 Washington St,Ste A,Norwood,MA,2062,83-2057586,MCN281378,Mon Oct 29 2018 14:33:09 GMT-0400 (Eastern Daylight Time),Wed Nov 28 2018 13:47:54 GMT-0500 (Eastern Standard Time),Tue Nov 06 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 25 2019 10:18:04 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,APPROVED,RP201902,RPA201902,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,Thu May 03 2018 15:03:22 GMT-0400 (Eastern Daylight Time),Mon Dec 10 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Feb 21 2019 16:06:34 GMT-0500 (Eastern Standard Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 26 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,30 Franklin R Mckay Rd,N/A,Bristol County,600,7500,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,3/25/22,APPROVED,COMPLETE,MR283141,Aspen Blue Cultures Inc.,Attleboro,MA,2703,41.94579,-71.273974,40 Forest Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.273973 41.9457900),909 North Main Street,,Providence,RI,2904,83-2407755,MRN283141,Fri Feb 28 2020 15:15:28 GMT-0500 (Eastern Standard Time),Fri May 15 2020 21:24:37 GMT-0400 (Eastern Daylight Time),Mon May 18 2020 09:54:19 GMT-0400 (Eastern Daylight Time),Fri Jan 22 2021 14:45:53 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Mar 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Nov 22 2019 15:48:47 GMT-0500 (Eastern Standard Time),Fri Jul 17 2020 10:13:46 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 12:31:03 GMT-0400 (Eastern Daylight Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 22 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,40 Forest St,N/A,Bristol County,1500,10000,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
Marijuana Cultivator,Expedited Review - DBE Status,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MC283578,"Kief USA, LLC",Attleboro,MA,2703,41.897463,-71.380157,1 Turner Street fka 330 Turner Street,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.380156 41.8974630),1 Turner Street fka 330 Turner Street,,Attleboro,MA,2703,87-0968717,MCN283578,Mon Sep 13 2021 10:50:15 GMT-0400 (Eastern Daylight Time),Fri Oct 22 2021 12:12:22 GMT-0400 (Eastern Daylight Time),Wed Sep 29 2021 08:51:12 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Minority-Owned Business | Woman-Owned Business,Indoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,Mon Aug 23 2021 11:18:40 GMT-0400 (Eastern Daylight Time),Mon Nov 15 2021 15:44:26 GMT-0500 (Eastern Standard Time),Mon Feb 14 2022 16:20:52 GMT-0500 (Eastern Standard Time),,,,2/21/23,1 Turner St,N/A,Bristol County,2000,,2703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
